2025-08-27 17:38:01 - estoque.database - INFO - DB_APPLY: {'table': 'migrations', 'operation': 'APPLY', 'affected_rows': 0}
2025-08-27 17:38:01 - estoque.database - INFO - DB_CREATE: {'table': 'views', 'operation': 'CREATE', 'affected_rows': 0}
2025-08-27 17:38:01 - estoque.database - INFO - DB_SELECT_MAP: {'table': 'dim_consumo', 'operation': 'SELECT_MAP', 'affected_rows': 104}
2025-08-27 17:38:01 - estoque.database - INFO - DB_SELECT_METRICS: {'table': 'demanda', 'operation': 'SELECT_METRICS', 'affected_rows': 0}
2025-08-27 17:38:01 - estoque.database - INFO - DB_SELECT_CONSOLIDATED: {'table': 'estoque_snapshot', 'operation': 'SELECT_CONSOLIDATED', 'affected_rows': 0}
2025-08-27 17:38:01 - estoque.database - INFO - DB_SELECT_ALL: {'table': 'produto', 'operation': 'SELECT_ALL', 'affected_rows': 104}
2025-08-27 20:56:43 - estoque.database - INFO - DB_APPLY: {'table': 'migrations', 'operation': 'APPLY', 'affected_rows': 0}
2025-08-27 20:56:43 - estoque.database - INFO - DB_CREATE: {'table': 'views', 'operation': 'CREATE', 'affected_rows': 0}
2025-08-27 20:56:43 - estoque.database - INFO - DB_SELECT_MAP: {'table': 'dim_consumo', 'operation': 'SELECT_MAP', 'affected_rows': 104}
2025-08-27 20:56:43 - estoque.database - INFO - DB_SELECT_METRICS: {'table': 'demanda', 'operation': 'SELECT_METRICS', 'affected_rows': 0}
2025-08-27 20:56:43 - estoque.database - INFO - DB_SELECT_CONSOLIDATED: {'table': 'estoque_snapshot', 'operation': 'SELECT_CONSOLIDATED', 'affected_rows': 0}
2025-08-27 20:56:43 - estoque.database - INFO - DB_SELECT_ALL: {'table': 'produto', 'operation': 'SELECT_ALL', 'affected_rows': 104}
2025-08-28 15:01:34 - estoque.database - INFO - DB_APPLY: {'table': 'migrations', 'operation': 'APPLY', 'affected_rows': 0}
2025-08-28 15:01:34 - estoque.database - INFO - DB_CREATE: {'table': 'views', 'operation': 'CREATE', 'affected_rows': 0}
2025-08-28 15:01:34 - estoque.database - INFO - DB_SELECT_NAMES: {'table': 'produto', 'operation': 'SELECT_NAMES', 'affected_rows': 104}
2025-08-28 15:01:34 - estoque.database - INFO - DB_SELECT_ALL: {'table': 'demanda_mensal', 'operation': 'SELECT_ALL', 'affected_rows': 0}
2025-08-28 15:02:23 - estoque.database - INFO - DB_INSERT_MANY: {'table': 'entrada', 'operation': 'INSERT_MANY', 'affected_rows': 906, 'file_path': 'saidas.xlsx'}
2025-08-28 15:03:06 - estoque.database - INFO - DB_APPLY: {'table': 'migrations', 'operation': 'APPLY', 'affected_rows': 0}
2025-08-28 15:03:06 - estoque.database - INFO - DB_CREATE: {'table': 'views', 'operation': 'CREATE', 'affected_rows': 0}
2025-08-28 15:03:06 - estoque.database - INFO - DB_SELECT_NAMES: {'table': 'produto', 'operation': 'SELECT_NAMES', 'affected_rows': 104}
2025-08-28 15:03:06 - estoque.database - INFO - DB_SELECT_ALL: {'table': 'demanda_mensal', 'operation': 'SELECT_ALL', 'affected_rows': 0}
2025-08-28 17:51:06 - estoque.database - INFO - DB_UPSERT: {'table': 'produto', 'operation': 'UPSERT', 'affected_rows': 1, 'codigo': '37'}
2025-08-28 17:51:06 - estoque.database - INFO - DB_UPSERT: {'table': 'dim_consumo', 'operation': 'UPSERT', 'affected_rows': 1, 'codigo': '37'}
2025-08-28 17:51:06 - estoque.database - INFO - DB_UPSERT: {'table': 'produto', 'operation': 'UPSERT', 'affected_rows': 1, 'codigo': '22'}
2025-08-28 17:51:06 - estoque.database - INFO - DB_UPSERT: {'table': 'dim_consumo', 'operation': 'UPSERT', 'affected_rows': 1, 'codigo': '22'}
2025-08-28 17:51:06 - estoque.database - INFO - DB_UPSERT: {'table': 'produto', 'operation': 'UPSERT', 'affected_rows': 1, 'codigo': '122167'}
2025-08-28 17:51:06 - estoque.database - INFO - DB_UPSERT: {'table': 'dim_consumo', 'operation': 'UPSERT', 'affected_rows': 1, 'codigo': '122167'}
2025-08-28 17:51:06 - estoque.database - INFO - DB_UPSERT: {'table': 'produto', 'operation': 'UPSERT', 'affected_rows': 1, 'codigo': '11'}
2025-08-28 17:51:06 - estoque.database - INFO - DB_UPSERT: {'table': 'dim_consumo', 'operation': 'UPSERT', 'affected_rows': 1, 'codigo': '11'}
2025-08-28 17:51:06 - estoque.database - INFO - DB_UPSERT: {'table': 'produto', 'operation': 'UPSERT', 'affected_rows': 1, 'codigo': '96'}
2025-08-28 17:51:06 - estoque.database - INFO - DB_UPSERT: {'table': 'dim_consumo', 'operation': 'UPSERT', 'affected_rows': 1, 'codigo': '96'}
2025-08-28 17:51:06 - estoque.database - INFO - DB_UPSERT: {'table': 'produto', 'operation': 'UPSERT', 'affected_rows': 1, 'codigo': '97'}
2025-08-28 17:51:06 - estoque.database - INFO - DB_UPSERT: {'table': 'dim_consumo', 'operation': 'UPSERT', 'affected_rows': 1, 'codigo': '97'}
2025-08-28 17:51:06 - estoque.database - INFO - DB_UPSERT: {'table': 'produto', 'operation': 'UPSERT', 'affected_rows': 1, 'codigo': '95'}
2025-08-28 17:51:06 - estoque.database - INFO - DB_UPSERT: {'table': 'dim_consumo', 'operation': 'UPSERT', 'affected_rows': 1, 'codigo': '95'}
2025-08-28 17:51:06 - estoque.database - INFO - DB_UPSERT: {'table': 'produto', 'operation': 'UPSERT', 'affected_rows': 1, 'codigo': '99'}
2025-08-28 17:51:07 - estoque.database - INFO - DB_UPSERT: {'table': 'dim_consumo', 'operation': 'UPSERT', 'affected_rows': 1, 'codigo': '99'}
2025-08-28 17:51:07 - estoque.database - INFO - DB_UPSERT: {'table': 'produto', 'operation': 'UPSERT', 'affected_rows': 1, 'codigo': '47'}
2025-08-28 17:51:07 - estoque.database - INFO - DB_UPSERT: {'table': 'dim_consumo', 'operation': 'UPSERT', 'affected_rows': 1, 'codigo': '47'}
2025-08-28 17:51:07 - estoque.database - INFO - DB_UPSERT: {'table': 'produto', 'operation': 'UPSERT', 'affected_rows': 1, 'codigo': '17'}
2025-08-28 17:51:07 - estoque.database - INFO - DB_UPSERT: {'table': 'dim_consumo', 'operation': 'UPSERT', 'affected_rows': 1, 'codigo': '17'}
2025-08-28 17:51:07 - estoque.database - INFO - DB_UPSERT: {'table': 'produto', 'operation': 'UPSERT', 'affected_rows': 1, 'codigo': '18'}
2025-08-28 17:51:07 - estoque.database - INFO - DB_UPSERT: {'table': 'dim_consumo', 'operation': 'UPSERT', 'affected_rows': 1, 'codigo': '18'}
2025-08-28 17:51:07 - estoque.database - INFO - DB_UPSERT: {'table': 'produto', 'operation': 'UPSERT', 'affected_rows': 1, 'codigo': '16'}
2025-08-28 17:51:07 - estoque.database - INFO - DB_UPSERT: {'table': 'dim_consumo', 'operation': 'UPSERT', 'affected_rows': 1, 'codigo': '16'}
2025-08-28 17:51:07 - estoque.database - INFO - DB_UPSERT: {'table': 'produto', 'operation': 'UPSERT', 'affected_rows': 1, 'codigo': '15'}
2025-08-28 17:51:07 - estoque.database - INFO - DB_UPSERT: {'table': 'dim_consumo', 'operation': 'UPSERT', 'affected_rows': 1, 'codigo': '15'}
2025-08-28 17:51:07 - estoque.database - INFO - DB_UPSERT: {'table': 'produto', 'operation': 'UPSERT', 'affected_rows': 1, 'codigo': '14'}
